Open,High,Low,Close,Volume,Dividends,Stock Splits
1425.5126413679486,1428.608614580358,1385.412679706394,1390.0321044921875,66872,0.0,0.0
1390.0321407398628,1439.86213383167,1390.0321407398628,1407.9197998046875,132490,0.0,0.0
1408.4112335042812,1437.8964651896465,1408.4112335042812,1430.672607421875,68814,0.0,0.0
1438.191306804873,1452.589831709724,1397.0102442364164,1405.5609130859375,89394,0.0,0.0
1407.4282833101993,1438.8791946690865,1400.6466565532983,1411.7528076171875,96776,0.0,0.0
1411.7527684421475,1441.8276775993868,1400.5483575863163,1407.72314453125,100534,0.0,0.0
1417.2567007238276,1417.502410970139,1374.2574076193425,1380.6458740234375,270190,0.0,0.0
1384.7738164080126,1471.3130167885665,1384.7738164080126,1419.6646728515625,582285,0.0,0.0
1427.0359114059806,1439.32142364294,1400.5483950133782,1403.0546875,96404,0.0,0.0
1407.3790340298651,1416.273792514424,1377.009345007861,1384.921142578125,67630,0.0,0.0
1391.7028173701576,1395.6341812610337,1358.0405140545306,1373.4710693359375,68994,0.0,0.0
1375.485906186783,1408.3618878942143,1372.0459628701315,1381.628662109375,71361,0.0,0.0
1385.9041753806102,1399.9588507385115,1367.0827448057591,1375.486083984375,67677,0.0,0.0
1380.8424352397626,1395.04455988377,1367.1318510786823,1370.8175048828125,58076,0.0,0.0
1378.0413440082586,1397.5999039304152,1366.148991886974,1379.2208251953125,114524,0.0,0.0
1385.805831060389,1566.648577808695,1385.805831060389,1530.47998046875,1999986,0.0,0.0
1534.2149161189857,1534.2149161189857,1486.0065134614113,1495.29443359375,311229,0.0,0.0
1515.3933890513524,1621.6876684027081,1498.881732049405,1610.1884765625,2026250,0.0,0.0
1602.4240044750973,1656.0870995514751,1600.3108723113885,1627.4864501953125,738283,0.0,0.0
1668.8640781966817,1718.7924507879038,1665.1784243137386,1687.1448974609375,1539128,0.0,0.0
1689.50367381436,1717.8586125821876,1662.9177768556774,1681.0020751953125,388968,0.0,0.0
1689.258030962346,1719.9226233013849,1662.1807124248537,1675.0068359375,323688,0.0,0.0
1672.7954272270479,1710.1433862368174,1672.7954272270479,1700.806396484375,253453,0.0,0.0
1714.0746611350075,1817.2729635542598,1705.47480260007,1800.1224365234375,1031760,0.0,0.0
1807.542859058653,1847.6428198479111,1790.4905917042304,1833.735595703125,505546,0.0,0.0
1832.9983678598421,1832.9983678598421,1734.7142730684297,1745.6729736328125,351011,0.0,0.0
1753.2900961932023,1842.8268879260966,1749.4569922711744,1830.443115234375,584716,0.0,0.0
1830.4430283021663,1830.4430283021663,1782.67698163079,1803.21826171875,244950,0.0,0.0
1816.0936427099791,1879.2411767833314,1813.39082996754,1849.2645263671875,639613,0.0,0.0
1849.2644718297488,1855.603748084778,1788.967082446113,1838.109130859375,222947,0.0,0.0
1838.8954282182515,1914.819892050352,1837.9125872624963,1894.966552734375,420118,0.0,0.0
1894.966591497514,1950.7428168775796,1867.4470441734288,1940.6195068359375,458585,0.0,0.0
1939.1452352253302,2075.7601301550417,1906.7114831916576,2041.0657958984375,0,0.0,0.0
2024.603159979146,2147.5074683430166,2005.0447211221667,2123.5751953125,1121090,0.0,0.0
2123.5752432620097,2140.4311098478133,2042.3435331710675,2070.452880859375,480619,0.0,0.0
2081.657259192665,2084.556592181899,1970.9893854611335,1990.15478515625,359382,0.0,0.0
1997.1329106440735,1997.1329106440735,1866.3658676925727,1882.2879638671875,458592,0.0,0.0
1883.4181543073273,1935.606984586275,1882.1404130862309,1894.7208251953125,340768,0.0,0.0
1899.1927055818219,1930.0047456911334,1888.0374846779027,1895.1138916015625,152686,0.0,0.0
1910.3480995679065,1910.3480995679065,1879.3395364473715,1895.8021240234375,173158,0.0,0.0
1910.6428800993588,1910.6428800993588,1887.0546963944284,1894.131103515625,131453,0.0,0.0
1898.1608255124522,1898.1608255124522,1853.0974707686762,1860.8619384765625,144142,0.0,0.0
1862.4837082334936,1954.8707628899308,1853.0975286265189,1932.8060302734375,601175,0.0,0.0
1939.9316591048769,1960.767840801303,1906.5641343900247,1910.692138671875,233107,0.0,0.0
1923.419791566042,1955.8535437999099,1878.258296673105,1907.6943359375,327406,0.0,0.0
1916.4907444384373,1971.0876095365513,1908.6772065420007,1963.6180419921875,354493,0.0,0.0
1973.3481244101347,2039.3949888291643,1956.9837984564372,2032.023681640625,510494,0.0,0.0
2031.5323864954344,2034.1860092567406,1997.673561377461,2013.0057373046875,201886,0.0,0.0
2015.757755032087,2050.6486114680283,2012.8092319529933,2037.4786376953125,228975,0.0,0.0
2045.1936626517183,2064.506631533478,2029.5665873303187,2040.820068359375,210072,0.0,0.0
2043.277309465571,2080.5271284394685,1999.196913305397,2011.5316162109375,184479,0.0,0.0
2022.3076990040659,2061.30940420601,1995.2190045195664,2030.068359375,120222,12.0,0.0
2034.3195569505262,2081.0821640648287,2019.7866323916603,2035.06103515625,157257,0.0,0.0
2039.460518704582,2089.4856805145523,2027.6958271754659,2037.236083984375,168033,0.0,0.0
2041.487230134566,2052.55992334078,1969.7616423355887,1977.423583984375,124346,0.0,0.0
1986.7168330108402,2044.2060156722198,1980.2906883014307,2027.2509765625,115785,0.0,0.0
2036.5440864233433,2075.051474760829,2031.007860382708,2058.096435546875,391213,0.0,0.0
2069.218464379171,2077.12756505525,2050.5333105785735,2060.123046875,153613,0.0,0.0
2050.384902849193,2084.8390197659583,2042.6242425068735,2053.795654296875,424068,0.0,0.0
2086.025340524939,2086.025340524939,2041.5366484284357,2048.506591796875,88219,0.0,0.0
