Open,High,Low,Close,Volume,Dividends,Stock Splits
508.42809807684404,509.00693004278475,500.7582506648733,504.5690612792969,13574801,0.0,0.0
505.53384203479965,514.8920184447328,503.26668137325964,509.05523681640625,25125879,0.0,0.0
510.59879795066604,511.708294565563,505.9197394636187,507.75274658203125,17335453,0.0,0.0
512.1423786816576,516.8214959578305,508.57281688205785,513.3483276367188,26414406,0.0,0.0
514.4096113749056,515.1814069492949,507.46333343694596,509.5858154296875,21292441,0.0,0.0
510.6470621947379,515.4226322866407,508.5728651258081,514.16845703125,28597560,0.0,0.0
509.39283303653497,525.7937386456658,509.39283303653497,524.8289794921875,32476990,0.0,0.0
526.1314509253692,529.1704662175958,521.4523919610037,526.6138305664062,22283456,0.0,0.0
524.8290203365801,528.2056776365397,519.2816547723608,521.2593994140625,21156372,0.0,0.0
522.1277203155954,526.2279471472467,517.7380774844387,525.600830078125,25588577,0.0,0.0
525.7937530972686,527.1444395029524,520.6805412201405,524.0089721679688,22599418,0.0,0.0
524.6360325109525,535.9719529235705,524.3466165325823,535.055419921875,23335611,0.0,0.0
535.4413581745773,547.8867754588131,535.4413581745773,542.001708984375,38142390,0.0,0.0
542.1946783936938,547.0184744648121,536.8402765315984,546.391357421875,23143882,0.0,0.0
545.0889681292192,547.4044138484161,541.3263835565818,544.8477783203125,17845169,0.0,0.0
547.7902555693873,559.9944828601864,545.5713212122133,557.9202270507812,16183423,0.0,0.0
559.5603198271962,560.3803415698038,552.9517430518932,555.0259399414062,13667511,0.0,0.0
550.5398790399878,554.7365581435556,548.9480027542315,550.3951416015625,9699527,0.0,0.0
550.1056749132944,560.3320982716464,548.4655725939521,559.560302734375,12533761,0.0,0.0
559.7532754478732,567.519574895695,554.7847422287127,556.1836547851562,18163461,0.0,0.0
557.2931771156829,566.8924840772721,557.0037022474263,563.033447265625,12990869,0.0,0.0
564.3840978035432,565.7830103356278,551.938681323929,553.2893676757812,18959065,0.0,0.0
554.7365312255831,554.7365312255831,543.4006108048865,552.0352172851562,18561315,0.0,0.0
552.0352618592005,559.5603723309426,551.8422982298262,553.2412109375,16016715,0.0,0.0
554.4471426020532,560.2839241808579,551.4081274664932,557.7755737304688,11319335,0.0,0.0
558.3544174179372,563.4194034938666,554.3989280361421,561.3934326171875,11410243,0.0,0.0
563.4193712868674,569.5938537039765,561.4898528920494,565.6383056640625,22178229,0.0,0.0
565.3488896816855,569.690306070026,559.0779548985269,565.6383056640625,23739774,0.0,0.0
569.4973833549886,572.970552045641,551.2634685449358,553.9647827148438,45656620,0.0,0.0
558.5955860489015,565.5900903647125,549.8163007372307,554.8812866210938,42293962,0.0,0.0
557.1484331790119,559.8497471387918,553.2411702296671,556.810791015625,21484049,0.0,0.0
558.4990793137566,563.129911322796,556.4730498268981,561.1038818359375,16120548,0.0,0.0
559.3673968120895,564.6253464585627,557.872031763629,562.1652221679688,17616658,0.0,0.0
561.4898658014113,562.3581726527342,556.666069703461,560.7662963867188,16479436,0.0,0.0
560.7662708686073,567.0372055105788,560.0909276687804,565.348876953125,9788076,0.0,0.0
569.2078816389837,575.382363569774,567.326589575366,574.0316772460938,18432231,0.0,0.0
574.0317839964952,574.5141636469124,570.6551264435747,571.9093017578125,15031640,0.0,0.0
574.1713021538471,575.1548090297629,567.9752208412779,570.2864379882812,28797643,11.3,0.0
572.2043282720778,576.7284962336222,571.4175347222222,573.138671875,17820226,0.0,0.0
575.0564915599099,579.1872325105857,573.3845178383867,577.5152587890625,11323908,0.0,0.0
578.7938057425225,580.0723526959824,576.3350385133699,577.5152587890625,12920507,0.0,0.0
578.3020570417796,579.1872372629364,573.384522543125,575.6957397460938,11199940,0.0,0.0
578.3020794735314,580.8591735006199,576.3350655977711,579.4822998046875,11113781,0.0,0.0
580.219920283913,584.1539479695014,576.6792593497843,578.7938232421875,15971917,0.0,0.0
578.3020587314918,579.3838923129579,567.2376060771903,569.1554565429688,18870272,0.0,0.0
570.4340336193841,571.9092940511583,568.171979629697,569.1063232421875,8786066,0.0,0.0
569.8931168228817,571.810967389965,564.778868653493,566.8934326171875,12612098,0.0,0.0
567.4834836672331,569.0079073628928,565.7623465850536,567.0408935546875,8948696,0.0,0.0
566.4999931045896,567.1884599630207,555.9272935805022,557.1566772460938,17934877,0.0,0.0
559.3695408927533,565.2214188647152,557.6975671824076,561.8283081054688,12660226,0.0,0.0
561.8283361612903,563.3035965625892,556.5665980747244,559.4678955078125,17903691,0.0,0.0
559.467907178725,560.0580473686549,553.2718253697151,558.0418701171875,14549152,0.0,0.0
558.0418244790741,560.1071649036683,556.3206874490804,557.0090942382812,14946871,0.0,0.0
557.009109615746,559.615426915945,551.7965350438452,553.6652221679688,14979063,0.0,0.0
552.730917488521,552.8292441741823,544.6661483237355,545.4529418945312,12215712,0.0,0.0
546.8298175891919,549.2885847546108,545.3545572899404,547.8624877929688,8360264,0.0,0.0
549.0427393012731,558.5827684520195,546.4856453150311,556.7632446289062,10694768,0.0,0.0
562.8118255992676,564.5329626806109,559.1728380501565,560.4022216796875,18028934,0.0,0.0
564.5329734761028,564.5329734761028,560.79565917656,563.4019165039062,8718232,0.0,0.0
565.0247158234669,576.6792486136485,564.4346356930137,575.7941284179688,15421985,0.0,0.0
578.4987628799237,586.120941253394,572.646884897173,579.5314331054688,24799250,0.0,0.0
580.0723983250118,583.9080995156085,578.4988111859731,580.8591918945312,13598114,0.0,0.0
580.6625037384562,583.7113511483881,579.3838967325189,582.7278442382812,11323509,0.0,0.0
